Fecha,Precio
"9/11/2022,5013.2;"
"8/11/2022,5061.21;"
"4/11/2022,5058.02;"
"3/11/2022,5015.84;"
"2/11/2022,4975.58;"
"1/11/2022,4898.74;"
"31/10/2022,4819.42;"
"28/10/2022,4821.92;"
"27/10/2022,4895.29;"
"26/10/2022,4948.14;"
"26/10/2022,4948.14;"
"25/10/2022,4968.94;"
"24/10/2022,4913.24;"
"21/10/2022,4885.5;"
"20/10/2022,4815.09;"
"19/10/2022,4744.04;"
"18/10/2022,4636.83;"
"14/10/2022,4619.78;"
"13/10/2022,4611.18;"
"12/10/2022,4611.88;"
"11/10/2022,4605.29;"
"7/10/2022,4627.61;"
"6/10/2022,4548.89;"
"5/10/2022,4484.74;"
"4/10/2022,4545.66;"
"3/10/2022,4590.54;"
"30/9/2022,4532.07;"
"29/9/2022,4486.94;"
"28/9/2022,4556.42;"
"27/9/2022,4496.99;"
"26/9/2022,4426.47;"
"23/9/2022,4379.8;"
"22/9/2022,4403.82;"
"21/9/2022,4420.38;"
"20/9/2022,4415.11;"
"19/9/2022,4435.84;"
"16/9/2022,4404.64;"
"15/9/2022,4389.8;"
"14/9/2022,4413.89;"
"13/9/2022,4346.91;"
"12/9/2022,4365.32;"
"9/9/2022,4396.69;"
"8/9/2022,4446.36;"
"7/9/2022,4480.1;"
"6/9/2022,4466.73;"
"2/9/2022,4467.03;"
"1/9/2022,4422.77;"
"31/8/2022,4400.16;"
"30/8/2022,4386.13;"
"29/8/2022,4388.02;"
"26/8/2022,4407.95;"
"25/8/2022,4380.19;"
"24/8/2022,4374.45;"
"23/8/2022,4399.16;"
"22/8/2022,4400.25;"
"19/8/2022,4413.86;"
"18/8/2022,4316.47;"
"17/8/2022,4218.48;"
"16/8/2022,4185.49;"
"12/8/2022,4231.45;"
"11/8/2022,4273.82;"
"10/8/2022,4309.69;"
"9/8/2022,4307.09;"
"8/8/2022,4337.28;"
"5/8/2022,4268.3;"
"4/8/2022,4331.15;"
"3/8/2022,4313.3;"
"2/8/2022,4245.99;"
"1/8/2022,4300.3;"
"29/7/2022,4375.51;"
"28/7/2022,4420.75;"
"27/7/2022,4445.01;"
"26/7/2022,4461.63;"
"25/7/2022,4423.86;"
"22/7/2022,4410.14;"
"21/7/2022,4303.34;"
"19/7/2022,4315.41;"
"18/7/2022,4395.63;"
"15/7/2022,4519.65;"
"14/7/2022,4558.05;"
"13/7/2022,4627.46;"
"12/7/2022,4513.28;"
"11/7/2022,4388.27;"
"8/7/2022,4369.7;"
"7/7/2022,4348.68;"
"6/7/2022,4259.86;"
"5/7/2022,4198.77;"
"1/7/2022,4151.21;"
"30/6/2022,4127.47;"
"29/6/2022,4089.72;"
"28/6/2022,4129.87;"
"24/6/2022,4068.75;"
"23/6/2022,4026.52;"
"22/6/2022,4026.92;"
"21/6/2022,3905.05;"
"17/6/2022,3912.15;"
"16/6/2022,3923.96;"
"15/6/2022,3979.3;"
"14/6/2022,4016.5;"
"13/6/2022,3912.51;"
"10/6/2022,3833.34;"
"9/6/2022,3782.65;"
"8/6/2022,3790.88;"
"7/6/2022,3799.5;"
"6/6/2022,3771.63;"
"3/6/2022,3784.98;"
"2/6/2022,3791.74;"
"1/6/2022,3776.52;"
"31/5/2022,3912.34;"
"27/5/2022,3930.89;"
"26/5/2022,3959.05;"
"25/5/2022,3971.28;"
"24/5/2022,3950.35;"
"23/5/2022,3989.84;"
"20/5/2022,4050.88;"
"19/5/2022,4054.71;"
"18/5/2022,4033.85;"
"17/5/2022,4070.25;"
"16/5/2022,4110.53;"
"13/5/2022,4109.71;"
"12/5/2022,4080.32;"
"11/5/2022,4086.71;"
"10/5/2022,4085.76;"
"9/5/2022,4053.93;"
"6/5/2022,4086.08;"
"5/5/2022,4056.41;"
"4/5/2022,4016.34;"
"3/5/2022,4004.07;"
"2/5/2022,3966.27;"
"29/4/2022,3984.77;"
"28/4/2022,3967.32;"
"27/4/2022,3947.63;"
"26/4/2022,3931.74;"
"25/4/2022,3819.07;"
"22/4/2022,3759.54;"
"21/4/2022,3758.65;"
"20/4/2022,3755.85;"
"19/4/2022,3731.31;"
"18/4/2022,3737.32;"
"13/4/2022,3736.7;"
"12/4/2022,3744.16;"
"11/4/2022,3777.41;"
"8/4/2022,3771.83;"
"7/4/2022,3746.51;"
"6/4/2022,3723.79;"
"5/4/2022,3706.95;"
"4/4/2022,3774.79;"
"1/4/2022,3756.03;"
"31/3/2022,3748.15;"
"30/3/2022,3765.96;"
"29/3/2022,3785.7;"
"28/3/2022,3785.66;"
"25/3/2022,3798.9;"
"24/3/2022,3756.64;"
"23/3/2022,3765.67;"
"22/3/2022,3820.67;"
"18/3/2022,3816.43;"
